title,slug,category,sector,type,median_pay_annual,median_pay_monthly,entry_education,num_jobs,outlook_desc,source_urls
Farmer (Crop),farmer-crop,Agriculture & Livestock,Agriculture & Livestock,agricultural,,,No formal education,,,built-in-psco-taxonomy
Livestock Farmer,livestock-farmer,Agriculture & Livestock,Agriculture & Livestock,agricultural,,,No formal education,,,built-in-psco-taxonomy
Agricultural Laborer,agricultural-laborer,Agriculture & Livestock,Agriculture & Livestock,unskilled-labor,,,No formal education,,,built-in-psco-taxonomy
Tractor Operator,tractor-operator,Agriculture & Livestock,Agriculture & Livestock,skilled-labor,,,Primary (Grade 5),,,built-in-psco-taxonomy
Irrigation Worker,irrigation-worker,Agriculture & Livestock,Agriculture & Livestock,skilled-labor,,,Primary (Grade 5),,,built-in-psco-taxonomy
Fisherman,fisherman,Agriculture & Livestock,Agriculture & Livestock,skilled-labor,,,No formal education,,,built-in-psco-taxonomy
Poultry Farmer,poultry-farmer,Agriculture & Livestock,Agriculture & Livestock,agricultural,,,Middle (Grade 8),,,built-in-psco-taxonomy
Dairy Farmer,dairy-farmer,Agriculture & Livestock,Agriculture & Livestock,agricultural,,,Primary (Grade 5),,,built-in-psco-taxonomy
Agricultural Extension Officer,agricultural-extension-officer,Agriculture & Livestock,Agriculture & Livestock,professional,,,Bachelor's degree,,,built-in-psco-taxonomy
Veterinarian,veterinarian,Agriculture & Livestock,Healthcare & Medical,medical,,,"Professional degree (MBBS, LLB, CA, etc.)",,,built-in-psco-taxonomy
Floriculturist / Nursery Worker,floriculturist-nursery-worker,Agriculture & Livestock,Agriculture & Livestock,skilled-labor,,,Middle (Grade 8),,,built-in-psco-taxonomy
Textile Mill Worker,textile-mill-worker,Textiles & Garments,Textiles & Garments,skilled-labor,,,Primary (Grade 5),,,built-in-psco-taxonomy
Power Loom Operator,power-loom-operator,Textiles & Garments,Textiles & Garments,skilled-labor,,,Primary (Grade 5),,,built-in-psco-taxonomy
Garment Stitcher / Tailor,garment-stitcher-tailor,Textiles & Garments,Textiles & Garments,trades,,,Middle (Grade 8),,,built-in-psco-taxonomy
Textile Designer,textile-designer,Textiles & Garments,Textiles & Garments,technical,,,Bachelor's degree,,,built-in-psco-taxonomy
Quality Inspector (Textiles),quality-inspector-textiles,Textiles & Garments,Textiles & Garments,technical,,,Intermediate (Grade 12),,,built-in-psco-taxonomy
Dyeing & Finishing Operator,dyeing-finishing-operator,Textiles & Garments,Textiles & Garments,skilled-labor,,,Primary (Grade 5),,,built-in-psco-taxonomy
Embroidery Worker,embroidery-worker,Textiles & Garments,Textiles & Garments,trades,,,No formal education,,,built-in-psco-taxonomy
Spinning Machine Operator,spinning-machine-operator,Textiles & Garments,Textiles & Garments,skilled-labor,,,Primary (Grade 5),,,built-in-psco-taxonomy
Mason / Bricklayer,mason-bricklayer,Construction & Real Estate,Construction & Real Estate,trades,,,No formal education,,,built-in-psco-taxonomy
Carpenter,carpenter,Construction & Real Estate,Construction & Real Estate,trades,,,Primary (Grade 5),,,built-in-psco-taxonomy
Plumber,plumber,Construction & Real Estate,Construction & Real Estate,trades,,,Middle (Grade 8),,,built-in-psco-taxonomy
Electrician,electrician,Construction & Real Estate,Construction & Real Estate,trades,,,Middle (Grade 8),,,built-in-psco-taxonomy
Painter (Building),painter-building,Construction & Real Estate,Construction & Real Estate,trades,,,No formal education,,,built-in-psco-taxonomy
Welder,welder,Construction & Real Estate,Construction & Real Estate,trades,,,Middle (Grade 8),,,built-in-psco-taxonomy
Steel Fixer / Iron Worker,steel-fixer-iron-worker,Construction & Real Estate,Construction & Real Estate,trades,,,No formal education,,,built-in-psco-taxonomy
Civil Engineer,civil-engineer,Construction & Real Estate,Construction & Real Estate,professional,,,Bachelor's degree,,,built-in-psco-taxonomy
Architect,architect,Construction & Real Estate,Construction & Real Estate,professional,,,Bachelor's degree,,,built-in-psco-taxonomy
Construction Laborer,construction-laborer,Construction & Real Estate,Construction & Real Estate,unskilled-labor,,,No formal education,,,built-in-psco-taxonomy
Crane Operator,crane-operator,Construction & Real Estate,Construction & Real Estate,skilled-labor,,,Middle (Grade 8),,,built-in-psco-taxonomy
Real Estate Agent,real-estate-agent,Construction & Real Estate,Construction & Real Estate,services,,,Intermediate (Grade 12),,,built-in-psco-taxonomy
Surveyor,surveyor,Construction & Real Estate,Construction & Real Estate,technical,,,Bachelor's degree,,,built-in-psco-taxonomy
Factory Worker (General),factory-worker-general,Manufacturing & Industry,Manufacturing & Industry,unskilled-labor,,,Primary (Grade 5),,,built-in-psco-taxonomy
Machine Operator,machine-operator,Manufacturing & Industry,Manufacturing & Industry,skilled-labor,,,Middle (Grade 8),,,built-in-psco-taxonomy
Production Supervisor,production-supervisor,Manufacturing & Industry,Manufacturing & Industry,managerial,,,Intermediate (Grade 12),,,built-in-psco-taxonomy
Quality Control Inspector,quality-control-inspector,Manufacturing & Industry,Manufacturing & Industry,technical,,,Intermediate (Grade 12),,,built-in-psco-taxonomy
Industrial Engineer,industrial-engineer,Manufacturing & Industry,Manufacturing & Industry,professional,,,Bachelor's degree,,,built-in-psco-taxonomy
Mechanical Engineer,mechanical-engineer,Manufacturing & Industry,Manufacturing & Industry,professional,,,Bachelor's degree,,,built-in-psco-taxonomy
Chemical Engineer,chemical-engineer,Manufacturing & Industry,Manufacturing & Industry,professional,,,Bachelor's degree,,,built-in-psco-taxonomy
Electrical Engineer,electrical-engineer,Manufacturing & Industry,Manufacturing & Industry,professional,,,Bachelor's degree,,,built-in-psco-taxonomy
Electronics Technician,electronics-technician,Manufacturing & Industry,Manufacturing & Industry,technical,,,Diploma / Certificate,,,built-in-psco-taxonomy
CNC Machine Operator,cnc-machine-operator,Manufacturing & Industry,Manufacturing & Industry,technical,,,Diploma / Certificate,,,built-in-psco-taxonomy
Packaging Worker,packaging-worker,Manufacturing & Industry,Manufacturing & Industry,unskilled-labor,,,Primary (Grade 5),,,built-in-psco-taxonomy
Truck Driver,truck-driver,Transport & Logistics,Transport & Logistics,skilled-labor,,,Primary (Grade 5),,,built-in-psco-taxonomy
Bus Driver,bus-driver,Transport & Logistics,Transport & Logistics,skilled-labor,,,Middle (Grade 8),,,built-in-psco-taxonomy
Rickshaw Driver,rickshaw-driver,Transport & Logistics,Transport & Logistics,services,,,No formal education,,,built-in-psco-taxonomy
Taxi / Ride-hail Driver,taxi-ride-hail-driver,Transport & Logistics,Transport & Logistics,services,,,Middle (Grade 8),,,built-in-psco-taxonomy
Delivery Rider,delivery-rider,Transport & Logistics,Transport & Logistics,services,,,Middle (Grade 8),,,built-in-psco-taxonomy
Warehouse Worker,warehouse-worker,Transport & Logistics,Transport & Logistics,unskilled-labor,,,Primary (Grade 5),,,built-in-psco-taxonomy
Logistics Coordinator,logistics-coordinator,Transport & Logistics,Transport & Logistics,clerical,,,Bachelor's degree,,,built-in-psco-taxonomy
Customs Clearing Agent,customs-clearing-agent,Transport & Logistics,Transport & Logistics,clerical,,,Intermediate (Grade 12),,,built-in-psco-taxonomy
Ship/Port Worker,shipport-worker,Transport & Logistics,Transport & Logistics,skilled-labor,,,Middle (Grade 8),,,built-in-psco-taxonomy
Airline Pilot,airline-pilot,Transport & Logistics,Transport & Logistics,professional,,,Bachelor's degree,,,built-in-psco-taxonomy
Train Driver,train-driver,Transport & Logistics,Transport & Logistics,skilled-labor,,,Matric (Grade 10),,,built-in-psco-taxonomy
Air Traffic Controller,air-traffic-controller,Transport & Logistics,Transport & Logistics,professional,,,Bachelor's degree,,,built-in-psco-taxonomy
Software Developer,software-developer,Information Technology,Information Technology,technical,,,Bachelor's degree,,,built-in-psco-taxonomy
Web Developer,web-developer,Information Technology,Information Technology,technical,,,Bachelor's degree,,,built-in-psco-taxonomy
Mobile App Developer,mobile-app-developer,Information Technology,Information Technology,technical,,,Bachelor's degree,,,built-in-psco-taxonomy
Data Analyst,data-analyst,Information Technology,Information Technology,technical,,,Bachelor's degree,,,built-in-psco-taxonomy
Data Scientist,data-scientist,Information Technology,Information Technology,professional,,,Master's degree,,,built-in-psco-taxonomy
Database Administrator,database-administrator,Information Technology,Information Technology,technical,,,Bachelor's degree,,,built-in-psco-taxonomy
Network Engineer,network-engineer,Information Technology,Information Technology,technical,,,Bachelor's degree,,,built-in-psco-taxonomy
Cybersecurity Analyst,cybersecurity-analyst,Information Technology,Information Technology,technical,,,Bachelor's degree,,,built-in-psco-taxonomy
IT Support Technician,it-support-technician,Information Technology,Information Technology,technical,,,Diploma / Certificate,,,built-in-psco-taxonomy
System Administrator,system-administrator,Information Technology,Information Technology,technical,,,Bachelor's degree,,,built-in-psco-taxonomy
UI/UX Designer,uiux-designer,Information Technology,Information Technology,technical,,,Bachelor's degree,,,built-in-psco-taxonomy
DevOps Engineer,devops-engineer,Information Technology,Information Technology,technical,,,Bachelor's degree,,,built-in-psco-taxonomy
AI / Machine Learning Engineer,ai-machine-learning-engineer,Information Technology,Information Technology,professional,,,Master's degree,,,built-in-psco-taxonomy
Cloud Engineer,cloud-engineer,Information Technology,Information Technology,technical,,,Bachelor's degree,,,built-in-psco-taxonomy
QA / Test Engineer,qa-test-engineer,Information Technology,Information Technology,technical,,,Bachelor's degree,,,built-in-psco-taxonomy
